City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
2,Rikitea,PF,75.31,clear sky,-23.1203,-134.9692,People ThankYou
5,Puerto Ayora,EC,73.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
6,Vaini,TO,71.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
9,Hilo,US,75.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
11,Kavieng,PG,81.91,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
12,Katsuura,JP,76.91,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
15,Atuona,PF,77.86,few clouds,-9.8,-139.0333,Villa Enata
16,Butaritari,KI,81.63,light rain,3.0707,172.7902,Isles Sunset Lodge
18,Ponta Do Sol,PT,75.0,broken clouds,32.6667,-17.1,Hotel do Campo
20,Albany,US,75.16,overcast clouds,42.6001,-73.9662,
24,Ahuimanu,US,75.2,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
25,Mapiri,BO,78.71,overcast clouds,-15.25,-68.1667,
26,Mpongwe,ZM,75.79,clear sky,-13.5091,28.155,Casablanca guest house and bar
29,Castro,BR,71.65,clear sky,-24.7911,-50.0119,CHACARA BAILLY
30,Janauba,BR,81.21,few clouds,-15.8025,-43.3089,Ouro Norte Palace Hotel
31,Bikapur,IN,94.87,overcast clouds,26.6,82.1333,Hotel Tirupati
34,Rabo De Peixe,PT,71.11,scattered clouds,37.8,-25.5833,Quinta das Giestas
36,Acapulco,MX,80.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
37,Tiznit,MA,86.02,clear sky,29.5833,-9.5,
41,Veraval,IN,83.32,light rain,20.9,70.3667,Lords Inn Somnath
43,Seoul,KR,82.0,clear sky,37.5683,126.9778,롯데호텔 서울
48,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
51,Larap,PH,79.12,overcast clouds,14.299,122.6504,Montemayor Cove
54,Zhezkazgan,KZ,87.78,broken clouds,47.8043,67.7144,Hotel Zumrat
56,Nabire,ID,75.94,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
57,Sao Gabriel Da Cachoeira,BR,82.2,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
58,Kapaa,US,77.32,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
59,Marzuq,YE,96.39,scattered clouds,14.4,46.4667,
60,Puerto Narino,CO,80.4,moderate rain,-3.7703,-70.3831,Eware Refugio Amazonico
63,Takoradi,GH,79.84,broken clouds,4.8845,-1.7554,Raybow International Hotel
64,Korla,CN,86.0,overcast clouds,41.7597,86.1469,Gulisitan Hotel
72,Fuyang,CN,84.22,overcast clouds,32.9,115.8167,Fuyang Wanda Realm Hotel
74,Barreirinha,BR,85.06,light rain,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
76,Vila Franca Do Campo,PT,72.01,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
78,Nikolskoye,RU,78.69,overcast clouds,59.7035,30.7861,Tourist House - Sablino
80,Entre Rios,BR,82.04,overcast clouds,-11.9419,-38.0844,Pousada Porteira
82,Bethel,US,76.15,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
83,Tual,ID,78.93,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
84,San Antonio,US,84.72,scattered clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
85,La Orilla,MX,83.59,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
86,Ouadda,CF,76.37,light rain,8.0777,22.4007,
88,San Patricio,US,89.47,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
90,Biak,ID,77.13,moderate rain,-0.9131,122.8766,Penginapan Kim
91,Tezu,IN,77.95,broken clouds,27.9167,96.1667,Circuit House
94,Zharkent,KZ,79.41,few clouds,44.1628,80.0,гостиница Satti
95,Yuci,CN,74.95,scattered clouds,37.6803,112.7319,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
98,Pozzallo,IT,93.85,clear sky,36.7305,14.8499,Mare Nostrum Petit Hôtel
101,Lugovoy,KZ,83.62,broken clouds,42.9472,72.7644,Ж.Д Вокзал Луговая
103,Mangrol,IN,83.61,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
107,Sabang,ID,83.37,light rain,5.8933,95.3214,Hotel Citra
108,Touros,BR,75.31,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
109,Port Blair,IN,82.98,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
113,Saint George,US,86.25,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
117,Port Hawkesbury,CA,77.92,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
119,Salalah,OM,82.49,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
121,Churu,IN,93.47,overcast clouds,28.3,74.95,Malji Ka Kamra
122,Georgetown,MY,86.9,few clouds,5.4112,100.3354,Cititel Penang
124,Ahome,MX,87.04,clear sky,25.9167,-109.1833,LA HOUSE DE LA ALEJANDRA
125,Los Llanos De Aridane,ES,71.35,scattered clouds,28.6585,-17.9182,Valle Aridane
126,Poceirao,PT,80.4,clear sky,38.831,-8.7937,Fonte de Lobos
127,Sinnamary,GF,83.17,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
129,Cantaura,VE,80.19,overcast clouds,9.3057,-64.3584,Hotel Lorenzana
130,Cururupu,BR,80.51,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
131,Mucurapo,TT,86.05,scattered clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
132,Sakakah,SA,99.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
136,Guilin,CN,77.11,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
142,Antalaha,MG,70.3,light rain,-14.9003,50.2788,Hotel Vitasoa
145,Astana,KZ,76.95,clear sky,51.1801,71.446,King Hotel Astana
146,Westport,US,77.41,scattered clouds,41.1415,-73.3579,The Westport Inn
148,Leua,SK,90.5,clear sky,48.2156,18.6071,Business Hotel ASTRUM Laus
150,Caravelas,BR,79.14,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
151,Madera,US,71.76,clear sky,37.1666,-119.8343,
152,Boone,US,78.53,scattered clouds,39.0334,-92.3335,Cottonwoods RV Park
156,Jitra,MY,82.29,few clouds,6.2681,100.4217,Hotel Darulaman
160,Shenjiamen,CN,77.14,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
161,Jamestown,US,72.01,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
163,Kirakira,SB,79.92,few clouds,-10.4544,161.9205,SanBiz Lodge
164,Moberly,US,77.43,clear sky,39.4184,-92.4382,Super 8 by Wyndham Moberly MO
165,Metro,ID,75.27,broken clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
167,Sur,OM,90.61,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
170,Sal Rei,CV,79.0,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
173,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
174,Hithadhoo,MV,82.87,overcast clouds,-0.6,73.0833,Scoop Guest House
175,Sayyan,YE,72.54,broken clouds,15.1718,44.3244,ملاطف ابوحورية
176,Itarema,BR,84.7,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
180,Fredericton,CA,73.42,broken clouds,45.9454,-66.6656,"Crowne Plaza Fredericton-Lord Beaverbrook, an IHG Hotel"
181,Quincy,US,77.45,broken clouds,42.2529,-71.0023,Marriott Boston Quincy
182,Poltar,SK,90.18,clear sky,48.4309,19.7941,Ubytovanie Penzión Iveta
184,Maragogi,BR,80.47,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
186,Lahan,NP,84.47,scattered clouds,26.7296,86.4951,Bhattarai Residence
187,Mongoumba,CF,89.73,scattered clouds,3.6415,18.5936,
191,Carlagan,PH,81.68,overcast clouds,14.975,122.0456,Cabatagan Island
196,Mantua,IT,99.09,clear sky,45.1667,10.7833,Hotel la Favorita
197,Hasaki,JP,81.28,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
200,Ostrovnoy,RU,72.93,clear sky,68.0531,39.5131,
201,Cockburn Town,TC,79.41,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
205,Mazatlan,MX,87.03,scattered clouds,23.2167,-106.4167,Hotel La Siesta
206,Alta Floresta,BR,91.22,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
207,Tadine,NC,72.46,broken clouds,-21.55,167.8833,
208,Leon Valley,US,85.44,broken clouds,29.4952,-98.6186,Days Inn by Wyndham San Antonio Northwest/Seaworld
209,Lewistown,US,82.94,clear sky,40.5992,-77.5714,Quality Inn & Suites
211,Griffith,US,81.9,clear sky,41.5284,-87.4237,Apartment above Depot Bar
212,Tuntum,BR,87.71,scattered clouds,-5.2581,-44.6489,Casa da Dona Maria Lúcia
214,Shimoda,JP,76.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
215,Gat,IL,87.4,clear sky,31.61,34.7642,OlusHome
216,Romny,UA,76.39,overcast clouds,50.751,33.4747,Floriana
217,Hattiesburg,US,87.66,clear sky,31.3271,-89.2903,Quality Inn & Suites
218,Lata,PT,83.48,clear sky,40.1629,-8.3327,Casa Maquia
219,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Fengshui Residence
220,Ponta Pora,BR,80.51,clear sky,-22.5361,-55.7256,Hotel Pousada do Bosque
221,Bentiu,SS,71.67,moderate rain,9.2333,29.8333,Mandela hôtel
222,Meiktila,MM,80.29,few clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
225,Lasa,IT,86.68,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
226,Kerouane,GN,79.65,light rain,9.2667,-9.0167,Hotel Seka Seka
227,Mahroni,IN,86.56,heavy intensity rain,24.5862,78.7288,Sahu Samaj Dharmashala
228,Tautira,PF,76.24,few clouds,-17.7333,-149.15,Pension Oaoa
229,Wanning,CN,81.43,light rain,18.8003,110.3967,Paradise Hotel
230,Kavaratti,IN,80.2,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
233,Quibdo,CO,79.14,broken clouds,5.6947,-76.6611,Domus Goval Hotel Quibdó
235,Cafarnaum,BR,78.31,broken clouds,-11.6936,-41.4683,Pousada avenida
236,Bais,PH,81.52,overcast clouds,9.5911,123.1228,La Planta Hotel (Bais City)
237,Axim,GH,81.5,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
240,Kudahuvadhoo,MV,82.04,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
241,Soyo,AO,75.25,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
249,Ban Nahin,LA,77.36,overcast clouds,18.2418,104.2122,
250,Babiciu,RO,92.03,overcast clouds,44.0333,24.5667,
251,Jaca,ES,86.02,light rain,42.569,-0.5499,Hotel Real Jaca & Spa
253,Saint Anthony,US,75.78,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
255,Linxi,CN,75.06,overcast clouds,39.7,118.4333,Peace Hotel
257,Bengkulu,ID,77.13,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
260,Inuvik,CA,72.46,scattered clouds,68.3499,-133.7218,Nova Inn Inuvik
262,Hella,NO,75.76,clear sky,67.2,14.4333,Djupvatnet rasteplass
266,Saint-Philippe,RE,70.21,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
267,Cabot,US,80.65,overcast clouds,34.9745,-92.0165,Super 8 by Wyndham Cabot
268,Tura,IN,75.29,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
269,Bubaque,GW,75.83,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
270,Uvira,CD,78.42,light rain,-3.4067,29.1458,Hotel Suzana
271,Taiyuan,CN,75.06,few clouds,37.8694,112.5603,Taiyuan Wanda Wenhua Hotel
272,Poum,NC,76.91,clear sky,-20.2333,164.0167,
275,Amapa,BR,83.44,broken clouds,1.0,-52.0,
276,Cabo San Lucas,MX,86.05,clear sky,22.8909,-109.9124,Vista Roof Restaurant
277,Mogadishu,SO,80.47,broken clouds,2.0371,45.3438,Hotel Juba
280,Sapatgram,IN,81.84,overcast clouds,26.3334,90.109,Skrl aji cabin
281,Carutapera,BR,81.7,scattered clouds,-1.195,-46.02,Lidera
282,Inirida,CO,79.5,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
283,Nara,JP,80.49,moderate rain,34.6851,135.8049,Guesthouse Nara Komachi
284,Vanimo,PG,78.22,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
288,Keti Bandar,PK,87.8,broken clouds,24.1447,67.4497,Haji laloo memon house
289,Harrisonburg,US,76.17,moderate rain,38.4496,-78.8689,Hampton Inn Harrisonburg - University
290,Faya,SA,78.91,few clouds,18.3851,42.4509,املاك خالد الشعشوع
292,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
295,Barra Do Corda,BR,89.46,broken clouds,-5.5,-45.25,Belchior Palace Hotel
297,Bandarbeyla,SO,86.85,few clouds,9.4942,50.8122,JABIR HOTEL
301,Puerto Quijarro,BO,91.38,overcast clouds,-17.7833,-57.7667,Hotel palance
302,Turayf,SA,95.25,clear sky,31.6725,38.6637,Turaif
304,Candolim,IN,81.21,light rain,15.5181,73.7626,Resort Terra Paraiso
305,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
307,Manono,CD,90.61,clear sky,-7.3,27.4167,Hotel hewa bora
309,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
310,Nishihara,JP,80.65,broken clouds,26.1842,127.7558,Minshuku Agaihama
312,Kathu,TH,87.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
315,Coahuayana,MX,85.3,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
317,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
321,Mumbwa,ZM,74.48,broken clouds,-14.9783,27.0619,Mumbwa Motel
323,Trenggalek,ID,75.78,broken clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
324,Olinda,BR,82.13,overcast clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
326,Pemangkat,ID,81.84,broken clouds,1.1667,108.9667,Ramah Kost KITA
328,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
329,Faanui,PF,78.4,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
332,Mastung,PK,83.3,clear sky,29.7994,66.845,Al Hasnan Cold Drink Santer
333,Asau,RO,85.28,broken clouds,46.4333,26.4,Casa Mika Ciobanus
338,Odweyne,SO,77.63,broken clouds,9.4092,45.064,Eng Hiirey House
339,Suntar,RU,72.48,few clouds,62.1444,117.6319,Гостевая квартира
342,Kimbe,PG,75.79,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
343,Hamilton,US,84.61,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
346,Bria,CF,81.88,overcast clouds,6.5423,21.9863,WFP Guesthouse
347,Glace Bay,CA,77.32,broken clouds,46.1969,-59.957,Cedarwoods Bed & Breakfast
348,Avera,US,87.55,clear sky,33.194,-82.5271,
350,Perehonivka,UA,79.2,broken clouds,48.5355,30.5192,
351,Kihei,US,75.85,clear sky,20.785,-156.4656,Maui Sunset
352,Khopoli,IN,76.71,broken clouds,18.7833,73.3333,The Dukes Retreat
353,Rio Tuba,PH,82.53,broken clouds,8.5061,117.4317,Triple J Lodging House
354,Sao Filipe,CV,74.82,clear sky,14.8961,-24.4956,Hotel Xaguate
355,Chebsara,RU,79.93,few clouds,59.2002,38.8356,
358,Seshcha,RU,76.91,overcast clouds,53.7361,33.3387,Podorozhnik
359,Waingapu,ID,77.29,few clouds,-9.6567,120.2641,Pondok Wisata Elim
361,Hambantota,LK,80.91,overcast clouds,6.1241,81.1185,Bungalow 63
366,Moindou,NC,72.97,broken clouds,-21.6924,165.677,Equi-lodge de Moindou
367,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
368,Grafenhainichen,DE,90.07,clear sky,51.7333,12.45,Hotel Gröbern am See UG
